Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
KJ942632.1,Influenza A virus (A/reassortant/NYMC X-179(NYMC X-157 x A/California/07/2009)(H1N1)),GenBank,set:5ea7620c6f230fe2537957a94a4956bb31cc1e46,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Ransier,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Kumar,M., Bucher,D.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1777,complete,,,Homo sapiens,,
MF509820.1,Human papillomavirus type 215,GenBank,set:MF509820,"Murahwa,A.T., Mbulawa,Z.Z.A., Williamson,A.-L., Meiring,T.L.","University of Cape Town, Pathology",South Africa,2017-12-12,CT07_2,Human papillomavirus type 215,7186,complete,South Africa,,Homo sapiens,,2007
HQ695929.1,Influenza B virus (B/Lipetsk/14/2002),GenBank,set:7c50f8eb340936b994ecd31084bddeb505332668,"Mohr,P.G., Geyer,H., McKimm-Breschkin,J.L.","CSIRO, Australian Animal Health Laboratory",Australia,2011-05-09,,Betainfluenzavirus influenzae,1401,complete,Russia,,Homo sapiens,,2002
KT277550.1,Enterovirus A89,GenBank,set:KT277550,"Fan,Q., Zhang,Y., Hu,L., Sun,Q., Cui,H., Yan,D., Sikandaner,H., Tang,H., Wang,D., Zhu,Z., Zhu,S., Xu,W.","National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, WHO WPRO Regional Polio Reference Laboratory and Ministry of Health Key Laboratory for Medical Virology",,2015-12-30,,Enterovirus A,7429,complete,China,,Homo sapiens,,2011-09-16
KC297139.1,Influenza A virus (A/Jeddah/3657/2010(H1N1)),GenBank,set:ccff859f3b30daa97dc22923c2c235af29338fe1,"Azhar,E.I., Norah,O.A., Ibrahim,K.H., Suha,F.A., Sohrab,S.S., Masri,B.E., Kumosani,T.A.","King Abdulaziz University, Special Infectious Disease Agents Unit, King Fahd Medical Research Center",Saudi Arabia,2012-12-26,,Alphainfluenzavirus influenzae,1701,complete,Saudi Arabia: Jeddah,,Homo sapiens,,2010-11-10
NC_026422.1,Influenza A virus (A/Shanghai/02/2013(H7N9)),RefSeq,GCF_000928555.1,"Zhu,H., Wang,D., Kelvin,D.J., Li,L., Zheng,Z., Yoon,S.W., Wong,S.S., Farooqui,A., Wang,J., Banner,D., Chen,R., Zheng,R., Zhou,J., Zhang,Y., Hong,W., Dong,W., Cai,Q., Roehrl,M.H., Huang,S.S., Kelvin,A.A., Yao,T., Zhou,B., Chen,X., Leung,G.M., Poon,L.L., Webster,R.G., Webby,R.J., Peiris,J.S., Guan,Y., Shu,Y., Roehrl,M.A., Huang,S.H., Calvin,A.A.","National Center for Biotechnology Information, NIH",USA,2015-02-04,,Alphainfluenzavirus influenzae,2280,complete,China,,Homo sapiens,,2013-03-05
OQ091517.1,Coxsackievirus A5,GenBank,,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L.","Centre National de Reference Enterovirus et Parechovirus - CHU Clermont ferrand, virologie",France,2025-01-01,,Enterovirus A,7397,complete,France,,Homo sapiens,oronasopharynx,2018-07-09
OL961542.1,rhinovirus B91,GenBank,,"Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.","UW Virology, DLMP",USA,2022-01-04,,Rhinovirus B,7202,complete,USA,,Homo sapiens,,2021-05-12
LC209464.1,Norovirus Hu/GII/JP/2004/GII.P2_GII.2/Hokkaido-13,GenBank,set:LC209464,"Mizukoshi,F., Nagasawa,K., Doan,Y.H., Haga,K., Yoshizumi,S., Ueki,Y., Shinohara,M., Ishikawa,M., Sakon,N., Shigemoto,N., Okamoto-Nakagawa,R., Ochi,A., Murakami,K., Ryo,A., Suzuki,Y., Katayama,K., Kimura,H., Matsushima,Y.","Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821",Japan,2017-12-14,,Norwalk virus,7531,complete,Japan: Hokkaido,,Homo sapiens,feces,2004
KX697009.1,Influenza A virus (A/Thrissur/MCVR5719/2010(H3N2)),GenBank,set:2a64c8f8ca1edf78b527639162a5b26fd5007386,"Jagadesh,A., Salam,A.A.A., Zadeh,V.R., Krishnan,A., Arunkumar,G.","Manipal University, Manipal Centre for Virus Research",India,2016-09-11,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2010-08-24
NC_039061.1,Human associated huchismacovirus 1,RefSeq,GCF_003033475.1,"Ng,T.F.F., Sachsenroeder,J., Vega,E., Kondov,N.O., Jang,C., Deng,X., Gregoricus,N., Vinje,J., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2018-08-24,Oregon/6/2011/GottageGrove/5A1,Human associated huchismacovirus 1,2460,complete,USA,,Homo sapiens,feces,2011-06-06
OM735654.1,Rubella virus genotype 1I,GenBank,,"Chen,M.-H., Suppiah,S., Abernathy,E., Icenogle,J.","Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch",USA,2023-01-17,,Rubivirus rubellae,9760,complete,United Kingdom,,Homo sapiens,,1986
HQ141592.1,SFTS virus AH15,GenBank,set:827ea09d01901449d3b50903b740394cf1e2e4ef,"Zhang,Q.F., Liang,M.F., Sun,Y.L., Li,J.D., Li,C., Lu,J., Qu,J., Wu,W., Ren,J., Li,D.X.","National Institute for Viral Diseases Control and Prevention, Department of Viral Hemorrhagic Fever",China,2011-03-09,,SFTS phlebovirus,6368,complete,China,,Homo sapiens,blood,2010-08-11
NC_007013.1,Small anellovirus 1,RefSeq,GCF_000859305.1,"Jones,M.S., Kapoor,A., Lukashov,V.V., Simmonds,P., Hecht,F., Delwart,E., Jones,M.S. Jr.","National Center for Biotechnology Information, NIH",USA,2005-05-21,,Small anellovirus,2249,complete,USA,,Homo sapiens,,
KC409266.1,Norovirus Hu/GII/20182/2009/VNM,GenBank,set:KC409266,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2013-02-16,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-10-04
AB933730.1,Norovirus Hu/GII.4/Ehime1/2009/JP,GenBank,set:AB933730,"Sato,H., Yokoyama,M., Motomura,K., Nakamura,H.","Pathogen Genomics Center; Gakuen 4-7-1, Musashi-Murayama, Tokyo 208-0011",Japan,2015-09-02,,Norwalk virus,7509,complete,Japan:Ehime,,Homo sapiens,feces,2009
LC790062.1,Norovirus GII.2,GenBank,,"Asakura,H., Yokota,S., Kuroki,K., Isogai,M., Hayashi,Y., Fujiwara,T., Miyake,H., Nagashima,M., Sadamasu,K.","Department of Microbiology; Hyakunincho 3-24-1, Shinjyuku-ku, Tokyo 169-0073",Japan,2023-12-13,GII/Hu/JP/2023/GII.2[P16]/TKY221324,Norovirus norwalkense,7490,complete,Japan,,Homo sapiens,feces,2023-01
KJ943565.1,Influenza A virus (A/Santiago/p2d2/2012(H3N2)),GenBank,GCA_038648915.1,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1737,complete,Chile: Providencia,,Homo sapiens,,2012-06-14
AB933733.1,Norovirus Hu/GII.4/Hokkaido5/2009/JP,GenBank,set:AB933733,"Sato,H., Yokoyama,M., Motomura,K., Nakamura,H.","Pathogen Genomics Center; Gakuen 4-7-1, Musashi-Murayama, Tokyo 208-0011",Japan,2015-09-02,,Norwalk virus,7509,complete,Japan:Hokkaido,,Homo sapiens,feces,2009
AB933692.1,Norovirus Hu/GII.4/Nagano5/2011/JP,GenBank,set:AB933692,"Sato,H., Yokoyama,M., Motomura,K., Nakamura,H.","Pathogen Genomics Center; Gakuen 4-7-1, Musashi-Murayama, Tokyo 208-0011",Japan,2015-09-02,,Norwalk virus,7509,complete,Japan:Nagano,,Homo sapiens,feces,2011
KT698168.1,Human papillomavirus 158,GenBank,set:KT698168,"Bolatti,E.M., Chouhy,D., Casal,P.E., Perez,G.R., Stella,E.J., Sanchez,A., Gorosito,M., Bussy,R.F., Giri,A.A.","Human Virology Group, Institute of Molecular and Cellular Biology CONICET",Argentina,2016-04-25,GC23,Gammapapillomavirus 12,7192,complete,Argentina,,Homo sapiens,skin,2008
EU862828.1,hepatitis C virus genotype 1a,GenBank,set:EU862828,"Henn,M.R., Kuntzen,T., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Shenoy,N., Godfrey,P., Champion,M., Gnerre,S., Grabherr,M., Mauceli,E., Schulze zur Wiesch,J., Kim,A., Lauer,G., Walker,B.D., Lander,E., Galagan,J., Nusbaum,C., Allen,T.M., Birren,B.",Broad Institute of MIT and Harvard,USA,2009-12-21,HCV-1a/US/BID-V12/2004,Hepacivirus hominis,9313,complete,USA: Massachusetts,MA,Homo sapiens,blood,2004
KX853524.1,Mumps virus genotype K,GenBank,set:KX853524,"da Silva,D.B.B., Santos,K.C.O., Benega,M.A., Santos,C.L.S., Paiva,T.M.","Instituto Adolfo Lutz, Respiratory Virus Lab/NDR/CV",Brazil,2017-03-01,,Orthorubulavirus parotitidis,318,complete,Brazil,,Homo sapiens,,2013-09-14
PP533216.1,Poliovirus 3,GenBank,,"Ben Salem,I., Khemiri,H., Drechsel,O., Arbi,M., Bottcher,S., Mekki,N., Ben Fraj,I., Souiai,O., Yahyaoui,M., Ben Farhat,E., Meddeb,Z., Touzi,H., Ben Mustapha,I., BenKahla,A., Ouederni,M., Barbouche,M.R., Diedrich,S., Triki,H., Haddad-Boubaker,S.","Pasteur Institute of Tunis, Clinical Virology Laboratory",Tunisia,2024-09-30,S86/19,Enterovirus C,7414,complete,Tunisia,,Homo sapiens,feces,2019-03-13
MT501654.1,Coronavirus cyc-BetaCoV/2019,GenBank,,"Zhang,T.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens",China,2020-07-07,cyc-BetaCoV/2019,Coronavirus cyc-BetaCoV/2019,30499,complete,China,,Homo sapiens,,2019-06
AB933734.1,Norovirus Hu/GII.4/Aomori5/2009/JP,GenBank,set:AB933734,"Sato,H., Yokoyama,M., Motomura,K., Nakamura,H.","Pathogen Genomics Center; Gakuen 4-7-1, Musashi-Murayama, Tokyo 208-0011",Japan,2015-09-02,,Norwalk virus,7509,complete,Japan:Aomori,,Homo sapiens,feces,2009
KX214548.1,Influenza A virus (A/Adana/05/2015(H1N1)),GenBank,set:b5e5a13d9fc1c77587aa3d94d1a8e60595ef5032,"Unaldi,O., Altas,B., Guldemir,D., Korukluoglu,G., Bakkaloglu,Z., Bayrakdar,F., Ari,F.F., Aktas,A.R., Durmaz,R.","Public Health Institution of Turkey, Microbiology Reference Laboratories Department",Turkey,2016-06-01,,Alphainfluenzavirus influenzae,1701,complete,Turkey,,Homo sapiens,oronasopharynx,2015-12-30
LC209471.1,Norovirus Hu/GII/JP/2011/GII.P16_GII.2/Hiroshima-26,GenBank,set:LC209471,"Mizukoshi,F., Nagasawa,K., Doan,Y.H., Haga,K., Yoshizumi,S., Ueki,Y., Shinohara,M., Ishikawa,M., Sakon,N., Shigemoto,N., Okamoto-Nakagawa,R., Ochi,A., Murakami,K., Ryo,A., Suzuki,Y., Katayama,K., Kimura,H., Matsushima,Y.","Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821",Japan,2017-12-14,,Norwalk virus,7514,complete,Japan: Hiroshima,,Homo sapiens,feces,2011
LC753640.1,HBV genotype B4,GenBank,,"E,B., Ko,K., Kim,R., Nagashima,S., Ouoba,S., Hussain,M.R.A., Sato,T., Chuon,C., Abe,K., Sugiyama,A., Takahashi,K., Akita,T., Tung,R., Vichit,O., Hossain,M.S., Saphonn,V., Tanaka,J.","Department of Epidemiology, Infectious Disease Control and Prevention; 1-2-3, Kasumi, Hiroshima 734-8551",Japan,2023-02-11,CV20_1042,Hepatitis B virus,3215,complete,Cambodia,,Homo sapiens,blood,2020
OL365067.1,rhinovirus B6,GenBank,,"Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.","UW Virology, DLMP",USA,2022-01-04,,Rhinovirus B,7157,complete,USA,,Homo sapiens,,2021
PP728782.1,Memtorquevirus hominid14,GenBank,,"Holland,S.C., Do,E.D., Kaelin,E.A., Mitchell,C., Soria,J., La Rosa,A., Ticona,E., Coombs,R.W., Frenkel,L.M., Bull,M.E., Lim,E.S.","Arizona State University, Center for Fundamental and Applied Microbiomics",USA,2024-05-28,ASU82836,Memtorquevirus hominid14,3223,complete,Peru: Lima,,Homo sapiens,,2007-09-28
LC776086.1,KI polyomavirus Stockholm 350,GenBank,,"Abdaulsahib,A.A., Alhmudi,H.A., Habib,H.N.","Biology; 88, Basrah, Basrah 00964",Iraq,2023-08-05,BASRAH88,Betapolyomavirus tertihominis,5040,complete,Iraq,,Homo sapiens,,2022-12-29
KR733213.1,Influenza B virus (B/Taiwan/72168/2004),GenBank,set:501852b18099e57d23197189a280d4d3239f37b4,"Shih,S.-R., Velu,A.B., Kuo,S.-M., Dash,S., Chen,G.-W., Han,Y.-J., Tsao,K.-C.","Chang Gung University, Research Center of Viral Infections",Taiwan,2016-01-01,,Betainfluenzavirus influenzae,1454,complete,"Taiwan: Clinical Virology Laboratory, Linkou Chang Gung Memorial Hospital",,Homo sapiens,,2004-12-20
KX088396.1,Influenza A virus (A/Ankara/14/2016(H1N1)),GenBank,set:6dd67b1c9bc4ec9dee2eb1f47d6d4741fe9cfdac,"Bakkaloglu,Z., Altas,B., Coskun-Ari,F.F., Bayrakdar,F., Unaldi,O., Korukluoglu,G., Guldemir,D., Aktas,A.R., Durmaz,R.","Public Health Institution of Turkey, Molecular Microbiology Reference Laboratories",Turkey,2016-05-15,,Alphainfluenzavirus influenzae,1701,complete,Turkey,,Homo sapiens,oronasopharynx,2016-01-04
KU695609.1,Influenza A virus (A/India/Kol-T3/2015(H1N1)),GenBank,set:6e7ef4d10c8923e5ca48842d8f7de4576f618cca,"Mukherjee,A., Chawla-Sarkar,M.","National Institute of Cholera and Enteric Diseases (Niced), Division of Virology, Virology",India,2016-03-05,,Alphainfluenzavirus influenzae,1745,complete,India,,Homo sapiens,,2015-04
LC756672.1,rhinovirus A15,GenBank,,"Shirato,K., Suwa,R., Kawase,M., Kume,Y., Ono,T., Chishiki,M., Okabe,H., Norito,S., Sato,M., Sakuma,H., Suzuki,S., Hosoya,M., Hashimoto,K., Kawase,Y., Kume,M., Okabe,T.","Virology III; 4-7-1 Gakuen, Musashimurayama, Tokyo 208-0011",Japan,2023-02-22,HRV_A15_Fukushima_H739_2019,Rhinovirus A,7065,complete,Japan: Fukushima,,Homo sapiens,,2019
JX227970.1,Hepatitis C virus subtype 4n,GenBank,set:JX227970,"Newman,R.M., Kuntzen,T., Weiner,B., Berical,A., Charlebois,P., Kuiken,C., Murphy,D.G., Simmonds,P., Bennett,P., Lennon,N.J., Birren,B.W., Zody,M.C., Allen,T.M., Henn,M.R., Gnirke,A., Levin,J.Z., Malboeuf,C., Ryan,E., Green,L., Walker,B., Young,S., Zeng,Q., Fitzgerald,M., Berlin,A.M., Imamovic,A., Larson,L., Lui,A., Murphy,C., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2012-11-17,HCV-4n/GB/BID-G1655,Hepacivirus hominis,9301,complete,United Kingdom,,Homo sapiens,blood,
KX789461.1,Influenza A virus (A/India/Kol-4122/2015(H1N1)),GenBank,set:7610caac84101491b96cc2a865373bec81c1d078,"Mukherjee,A., Chawla-Sarkar,M.","National Institute of Cholera and Enteric Diseases (Niced), Division of Virology, Virology",India,2016-09-18,,Alphainfluenzavirus influenzae,1745,complete,India,,Homo sapiens,,2015-03-13
OR728262.1,Betapolyomavirus tertihominis,GenBank,,"Sereewit,J., Kong,K., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Medicine Laboratory Medicine and Pathology, Virology Division",USA,2023-11-12,PyV/USA/WA-UW-6bd44/2021,Betapolyomavirus tertihominis,5050,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2021-01
KC478998.1,Influenza B virus (B/Ontario/0157913/2012),GenBank,set:bc9fad5c75c9f18f1416dde18a0b826e848f5370,"Higgins,R.R., Memari,N., Balogun,E., Gubbay,J.","Public Health Ontario, Molecular Diagnostics and Research",Canada,2013-02-20,,Betainfluenzavirus influenzae,1487,complete,Canada,,Homo sapiens,oronasopharynx,2012-02-18
NC_039063.1,Human associated huchismacovirus 3,RefSeq,GCF_003033495.1,"Ng,T.F.F., Sachsenroeder,J., Vega,E., Kondov,N.O., Jang,C., Deng,X., Gregoricus,N., Vinje,J., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2018-08-24,France/1/2009/3664,Human associated huchismacovirus 3,2459,complete,France,,Homo sapiens,feces,2009
JF260917.1,Coxsackievirus A11,GenBank,set:JF260917,"Bessaud,M., Joffret,M.L., Holmblat,B., Razafindratsimandresy,R., Delpeyroux,F.","Institut Pasteur, Biologie des Virus Enteriques",France,2011-09-21,CV-A11_66122,Enterovirus C,7478,complete,,,Homo sapiens,,
KJ549801.1,Influenza A virus (A/Shanghai/PD-02/2014(H7N9)),GenBank,GCA_038714635.1,"Zhang,X., Zhao,B., Teng,Z., Zhu,Z., Wu,F.","Shanghai Municipal Center for Disease Control and Prevention, Microbiology Lab",China,2015-03-06,,Alphainfluenzavirus influenzae,2280,complete,China,,Homo sapiens,oronasopharynx,2014-01-17
JQ714174.1,Influenza A virus (A/Tianjinnankai/SWL178/2009(H1N1)),GenBank,set:05f7034d88e5e82e45c5e3e0fd163d1c449fa2da,"Li,X., Kong,M., Chen,J., Su,X., Ding,J., Zou,M., Guo,L., Li,L.","Tianjin Centers for Disease Control and Prevention, Institute of Pathogenic Biology",China,2012-03-25,,Alphainfluenzavirus influenzae,1701,complete,China,,Homo sapiens,oronasopharynx,2009-08-23
LC209449.1,Norovirus Hu/GII/JP/2011/GII.P16_GII.2/Osaka-26,GenBank,set:LC209449,"Mizukoshi,F., Nagasawa,K., Doan,Y.H., Haga,K., Yoshizumi,S., Ueki,Y., Shinohara,M., Ishikawa,M., Sakon,N., Shigemoto,N., Okamoto-Nakagawa,R., Ochi,A., Murakami,K., Ryo,A., Suzuki,Y., Katayama,K., Kimura,H., Matsushima,Y.","Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821",Japan,2017-12-14,,Norwalk virus,7533,complete,Japan: Osaka,,Homo sapiens,feces,2011
KC292290.1,SFTS virus HNXY_224,GenBank,set:01c9cd35b085996e9eac1703b365adfbe7bd8f95,"Liu,W., Lu,Q.B., Cui,N., Li,H., Wang,L.Y., Liu,K., Yang,Z.D., Wang,B.J., Wang,H.Y., Zhang,Y.Y., Zhuang,L., Hu,C.Y., Yuan,C., Fan,X.J., Wang,Z., Zhang,L., Zhang,X.A., Walker,D.H., Cao,W.C., Lu,Q.","State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology",China,2013-04-15,,SFTS phlebovirus,1744,complete,"China: Henan, Xinyang",,Homo sapiens,,
KJ943428.1,Influenza A virus (A/Santiago/p19d1/2011(H1N1)),GenBank,GCA_038616475.1,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1701,complete,Chile: Talagante,,Homo sapiens,,2011-07-31
KC175387.1,Norovirus Hu/Norwalk/10386/2010/VNM,GenBank,set:KC175387,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2012-11-25,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2010-03-24
